process,mean_energy_eV,rate_coefficient_m3_s,EoverN_Td
C40 Ar Excitation 15.35 eV,11.1681,5.98037e-17,575.93
C40 Ar Excitation 15.35 eV,11.6671,7.13569e-17,629.384
C40 Ar Excitation 15.35 eV,12.2021,8.4303e-17,685.214
C40 Ar Excitation 15.35 eV,12.7745,9.86842e-17,743.42
C40 Ar Excitation 15.35 eV,13.3861,1.14471e-16,804.001
C40 Ar Excitation 15.35 eV,14.0422,1.31739e-16,866.958
C40 Ar Excitation 15.35 eV,14.7433,1.50481e-16,932.291
C40 Ar Excitation 15.35 eV,15.4923,1.70647e-16,1000.0
C41 Ar Excitation 15.66 eV,2.4075,0.0,1.0
C41 Ar Excitation 15.66 eV,3.52837,0.0,2.18787
C41 Ar Excitation 15.66 eV,5.08509,1.20765e-29,5.75149
C41 Ar Excitation 15.66 eV,5.39609,1.93651e-24,11.6908
C41 Ar Excitation 15.66 eV,5.62479,3.95072e-22,20.0059
C41 Ar Excitation 15.66 eV,5.85972,7.9384e-21,30.6968
C41 Ar Excitation 15.66 eV,6.09482,5.58972e-20,43.7634
C41 Ar Excitation 15.66 eV,6.32848,2.24025e-19,59.2057
C41 Ar Excitation 15.66 eV,6.56248,6.41221e-19,77.0238
C41 Ar Excitation 15.66 eV,6.80014,1.47556e-18,97.2176
C41 Ar Excitation 15.66 eV,7.04422,2.92054e-18,119.787
C41 Ar Excitation 15.66 eV,7.29691,5.18706e-18,144.732
C41 Ar Excitation 15.66 eV,7.56043,8.4958e-18,172.054
C41 Ar Excitation 15.66 eV,7.83628,1.3069e-17,201.75
C41 Ar Excitation 15.66 eV,8.12637,1.91334e-17,233.823
C41 Ar Excitation 15.66 eV,8.43263,2.69157e-17,268.271
C41 Ar Excitation 15.66 eV,8.756,3.66491e-17,305.095
C41 Ar Excitation 15.66 eV,9.09866,4.85564e-17,344.295
C41 Ar Excitation 15.66 eV,9.46271,6.28722e-17,385.87
C41 Ar Excitation 15.66 eV,9.84924,7.98039e-17,429.822
C41 Ar Excitation 15.66 eV,10.2604,9.95759e-17,476.149
C41 Ar Excitation 15.66 eV,10.6991,1.22418e-16,524.851
C41 Ar Excitation 15.66 eV,11.1681,1.4853e-16,575.93
C41 Ar Excitation 15.66 eV,11.6671,1.78025e-16,629.384
C41 Ar Excitation 15.66 eV,12.2021,2.11189e-16,685.214
C41 Ar Excitation 15.66 eV,12.7745,2.4815e-16,743.42
C41 Ar Excitation 15.66 eV,13.3861,2.88842e-16,804.001
C41 Ar Excitation 15.66 eV,14.0422,3.33467e-16,866.958
C41 Ar Excitation 15.66 eV,14.7433,3.82021e-16,932.291
C41 Ar Excitation 15.66 eV,15.4923,4.34386e-16,1000.0
C42 Ar Ionization 15.80 eV,2.4075,0.0,1.0
C42 Ar Ionization 15.80 eV,3.52837,0.0,2.18787
C42 Ar Ionization 15.80 eV,5.08509,2.95304e-27,5.75149
C42 Ar Ionization 15.80 eV,5.39609,3.17696e-22,11.6908
C42 Ar Ionization 15.80 eV,5.62479,4.6621e-20,20.0059
C42 Ar Ionization 15.80 eV,5.85972,7.35499e-19,30.6968
C42 Ar Ionization 15.80 eV,6.09482,4.3225e-18,43.7634
C42 Ar Ionization 15.80 eV,6.32848,1.50788e-17,59.2057
C42 Ar Ionization 15.80 eV,6.56248,3.86728e-17,77.0238
C42 Ar Ionization 15.80 eV,6.80014,8.14378e-17,97.2176
C42 Ar Ionization 15.80 eV,7.04422,1.49885e-16,119.787
C42 Ar Ionization 15.80 eV,7.29691,2.5066e-16,144.732
C42 Ar Ionization 15.80 eV,7.56043,3.90437e-16,172.054
C42 Ar Ionization 15.80 eV,7.83628,5.75815e-16,201.75
C42 Ar Ionization 15.80 eV,8.12637,8.1357e-16,233.823
C42 Ar Ionization 15.80 eV,8.43263,1.11055e-15,268.271
C42 Ar Ionization 15.80 eV,8.756,1.47395e-15,305.095
C42 Ar Ionization 15.80 eV,9.09866,1.91069e-15,344.295
C42 Ar Ionization 15.80 eV,9.46271,2.42815e-15,385.87
C42 Ar Ionization 15.80 eV,9.84924,3.03268e-15,429.822
C42 Ar Ionization 15.80 eV,10.2604,3.73132e-15,476.149
C42 Ar Ionization 15.80 eV,10.6991,4.53127e-15,524.851
C42 Ar Ionization 15.80 eV,11.1681,5.43849e-15,575.93
C42 Ar Ionization 15.80 eV,11.6671,6.45586e-15,629.384
C42 Ar Ionization 15.80 eV,12.2021,7.59262e-15,685.214
C42 Ar Ionization 15.80 eV,12.7745,8.85204e-15,743.42
C42 Ar Ionization 15.80 eV,13.3861,1.02314e-14,804.001
C42 Ar Ionization 15.80 eV,14.0422,1.17374e-14,866.958
C42 Ar Ionization 15.80 eV,14.7433,1.33695e-14,932.291
C42 Ar Ionization 15.80 eV,15.4923,1.51239e-14,1000.0
