process,mean_energy_eV,rate_coefficient_m3_s,EoverN_Td
C10 Ar Excitation 13.17 eV,9.09866,4.71496e-17,344.295
C10 Ar Excitation 13.17 eV,9.46271,5.4132e-17,385.87
C10 Ar Excitation 13.17 eV,9.84924,6.15254e-17,429.822
C10 Ar Excitation 13.17 eV,10.2604,6.93167e-17,476.149
C10 Ar Excitation 13.17 eV,10.6991,7.75022e-17,524.851
C10 Ar Excitation 13.17 eV,11.1681,8.60529e-17,575.93
C10 Ar Excitation 13.17 eV,11.6671,9.49018e-17,629.384
C10 Ar Excitation 13.17 eV,12.2021,1.04084e-16,685.214
C10 Ar Excitation 13.17 eV,12.7745,1.13531e-16,743.42
C10 Ar Excitation 13.17 eV,13.3861,1.23176e-16,804.001
C10 Ar Excitation 13.17 eV,14.0422,1.33046e-16,866.958
C10 Ar Excitation 13.17 eV,14.7433,1.43042e-16,932.291
C10 Ar Excitation 13.17 eV,15.4923,1.53128e-16,1000.0
C11 Ar Excitation 13.27 eV,2.4075,0.0,1.0
C11 Ar Excitation 13.27 eV,3.52837,8.8775e-31,2.18787
C11 Ar Excitation 13.27 eV,5.08509,6.16006e-22,5.75149
C11 Ar Excitation 13.27 eV,5.39609,5.42717e-20,11.6908
C11 Ar Excitation 13.27 eV,5.62479,4.03802e-19,20.0059
C11 Ar Excitation 13.27 eV,5.85972,1.33603e-18,30.6968
C11 Ar Excitation 13.27 eV,6.09482,3.01807e-18,43.7634
C11 Ar Excitation 13.27 eV,6.32848,5.50019e-18,59.2057
C11 Ar Excitation 13.27 eV,6.56248,8.76414e-18,77.0238
C11 Ar Excitation 13.27 eV,6.80014,1.27661e-17,97.2176
C11 Ar Excitation 13.27 eV,7.04422,1.74509e-17,119.787
C11 Ar Excitation 13.27 eV,7.29691,2.27671e-17,144.732
C11 Ar Excitation 13.27 eV,7.56043,2.86587e-17,172.054
C11 Ar Excitation 13.27 eV,7.83628,3.5062e-17,201.75
C11 Ar Excitation 13.27 eV,8.12637,4.19243e-17,233.823
C11 Ar Excitation 13.27 eV,8.43263,4.9191e-17,268.271
C11 Ar Excitation 13.27 eV,8.756,5.6818e-17,305.095
C11 Ar Excitation 13.27 eV,9.09866,6.47514e-17,344.295
C11 Ar Excitation 13.27 eV,9.46271,7.29528e-17,385.87
C11 Ar Excitation 13.27 eV,9.84924,8.13539e-17,429.822
C11 Ar Excitation 13.27 eV,10.2604,8.99118e-17,476.149
C11 Ar Excitation 13.27 eV,10.6991,9.85989e-17,524.851
C11 Ar Excitation 13.27 eV,11.1681,1.07356e-16,575.93
C11 Ar Excitation 13.27 eV,11.6671,1.16081e-16,629.384
C11 Ar Excitation 13.27 eV,12.2021,1.24799e-16,685.214
C11 Ar Excitation 13.27 eV,12.7745,1.33408e-16,743.42
C11 Ar Excitation 13.27 eV,13.3861,1.41834e-16,804.001
C11 Ar Excitation 13.27 eV,14.0422,1.50105e-16,866.958
C11 Ar Excitation 13.27 eV,14.7433,1.58092e-16,932.291
C11 Ar Excitation 13.27 eV,15.4923,1.65777e-16,1000.0
C12 Ar Excitation 13.28 eV,2.4075,0.0,1.0
C12 Ar Excitation 13.28 eV,3.52837,4.83755e-31,2.18787
C12 Ar Excitation 13.28 eV,5.08509,3.59326e-22,5.75149
C12 Ar Excitation 13.28 eV,5.39609,3.22768e-20,11.6908
C12 Ar Excitation 13.28 eV,5.62479,2.42116e-19,20.0059
C12 Ar Excitation 13.28 eV,5.85972,8.0456e-19,30.6968
C12 Ar Excitation 13.28 eV,6.09482,1.82228e-18,43.7634
C12 Ar Excitation 13.28 eV,6.32848,3.32679e-18,59.2057
C12 Ar Excitation 13.28 eV,6.56248,5.30766e-18,77.0238
C12 Ar Excitation 13.28 eV,6.80014,7.73873e-18,97.2176
C12 Ar Excitation 13.28 eV,7.04422,1.05868e-17,119.787
C12 Ar Excitation 13.28 eV,7.29691,1.38208e-17,144.732
C12 Ar Excitation 13.28 eV,7.56043,1.74068e-17,172.054
C12 Ar Excitation 13.28 eV,7.83628,2.13061e-17,201.75
C12 Ar Excitation 13.28 eV,8.12637,2.54865e-17,233.823
C12 Ar Excitation 13.28 eV,8.43263,2.99147e-17,268.271
C12 Ar Excitation 13.28 eV,8.756,3.45637e-17,305.095
C12 Ar Excitation 13.28 eV,9.09866,3.94004e-17,344.295
C12 Ar Excitation 13.28 eV,9.46271,4.44015e-17,385.87
C12 Ar Excitation 13.28 eV,9.84924,4.95251e-17,429.822
C12 Ar Excitation 13.28 eV,10.2604,5.4745e-17,476.149
C12 Ar Excitation 13.28 eV,10.6991,6.00444e-17,524.851
C12 Ar Excitation 13.28 eV,11.1681,6.53873e-17,575.93
C12 Ar Excitation 13.28 eV,11.6671,7.07106e-17,629.384
C12 Ar Excitation 13.28 eV,12.2021,7.6031e-17,685.214
C12 Ar Excitation 13.28 eV,12.7745,8.12845e-17,743.42
C12 Ar Excitation 13.28 eV,13.3861,8.64271e-17,804.001
C12 Ar Excitation 13.28 eV,14.0422,9.14756e-17,866.958
C12 Ar Excitation 13.28 eV,14.7433,9.63519e-17,932.291
C12 Ar Excitation 13.28 eV,15.4923,1.01043e-16,1000.0
C13 Ar Excitation 13.30 eV,2.4075,0.0,1.0
C13 Ar Excitation 13.30 eV,3.52837,2.83254e-31,2.18787
C13 Ar Excitation 13.30 eV,5.08509,2.44911e-22,5.75149
C13 Ar Excitation 13.30 eV,5.39609,2.33488e-20,11.6908
C13 Ar Excitation 13.30 eV,5.62479,1.82056e-19,20.0059
C13 Ar Excitation 13.30 eV,5.85972,6.24437e-19,30.6968
C13 Ar Excitation 13.30 eV,6.09482,1.45469e-18,43.7634
C13 Ar Excitation 13.30 eV,6.32848,2.72591e-18,59.2057
C13 Ar Excitation 13.30 eV,6.56248,4.45829e-18,77.0238
C13 Ar Excitation 13.30 eV,6.80014,6.65785e-18,97.2176
C13 Ar Excitation 13.30 eV,7.04422,9.32257e-18,119.787
C13 Ar Excitation 13.30 eV,7.29691,1.24505e-17,144.732
C13 Ar Excitation 13.30 eV,7.56043,1.60352e-17,172.054
C13 Ar Excitation 13.30 eV,7.83628,2.00639e-17,201.75
C13 Ar Excitation 13.30 eV,8.12637,2.45278e-17,233.823
C13 Ar Excitation 13.30 eV,8.43263,2.94156e-17,268.271
C13 Ar Excitation 13.30 eV,8.756,3.47206e-17,305.095
C13 Ar Excitation 13.30 eV,9.09866,4.04288e-17,344.295
C13 Ar Excitation 13.30 eV,9.46271,4.65339e-17,385.87
C13 Ar Excitation 13.30 eV,9.84924,5.30097e-17,429.822
C13 Ar Excitation 13.30 eV,10.2604,5.98446e-17,476.149
C13 Ar Excitation 13.30 eV,10.6991,6.70357e-17,524.851
C13 Ar Excitation 13.30 eV,11.1681,7.45576e-17,575.93
C13 Ar Excitation 13.30 eV,11.6671,8.23523e-17,629.384
C13 Ar Excitation 13.30 eV,12.2021,9.04503e-17,685.214
C13 Ar Excitation 13.30 eV,12.7745,9.87905e-17,743.42
C13 Ar Excitation 13.30 eV,13.3861,1.07316e-16,804.001
C13 Ar Excitation 13.30 eV,14.0422,1.16048e-16,866.958
C13 Ar Excitation 13.30 eV,14.7433,1.24901e-16,932.291
C13 Ar Excitation 13.30 eV,15.4923,1.33842e-16,1000.0
C14 Ar Excitation 13.33 eV,2.4075,0.0,1.0
C14 Ar Excitation 13.33 eV,3.52837,1.78028e-31,2.18787
C14 Ar Excitation 13.33 eV,5.08509,1.79632e-22,5.75149
C14 Ar Excitation 13.33 eV,5.39609,1.76324e-20,11.6908
C14 Ar Excitation 13.33 eV,5.62479,1.37336e-19,20.0059
C14 Ar Excitation 13.33 eV,5.85972,4.65693e-19,30.6968
C14 Ar Excitation 13.33 eV,6.09482,1.06786e-18,43.7634
C14 Ar Excitation 13.33 eV,6.32848,1.96559e-18,59.2057
